param MaxActivity :=
EU 2030 MAT_SUP_COB 380614.258
EU 2030 MAT_SUP_COP 4231589.97
EU 2030 MAT_SUP_DYS 5467.105
EU 2030 MAT_SUP_LIT 258076.41
EU 2030 MAT_SUP_NEO 55640.5216
EU 2030 MAT_SUP_NIC 1537995.65
EU 2030 MAT_SUP_PRA 7937.8647
EU 2030 MAT_SUP_TER 1103.4055
EU 2040 MAT_SUP_COB 1605437.00
EU 2040 MAT_SUP_COP 10746329.00
EU 2040 MAT_SUP_DYS 24082.97
EU 2040 MAT_SUP_LIT 1148439.00
EU 2040 MAT_SUP_NEO 122920.90
EU 2040 MAT_SUP_NIC 5042692.00
EU 2040 MAT_SUP_PRA 19853.09
EU 2040 MAT_SUP_TER 5163.30
;
